listing-location,location_encoded,bed,bath,listing-floorarea,listing-floorarea 2,price
"Pamulang, Tangerang Selatan, Banten",11,3.0,2.0,69.0,14285714.0,12000000.0
"Pamulang, Tangerang Selatan, Banten",11,2.0,1.0,40.0,10333333.0,
"BSD, Tangerang Selatan, Banten",1,3.0,3.0,128.0,23250000.0,27900000.0
". Jl. Amd, Kreo, Tangerang, Pondok Aren, Tangerang Selatan, Banten",12,2.0,1.0,37.0,12700000.0,
"lengkong wetan, Serpong, Tangerang Selatan, Banten",13,2.0,1.0,41.0,15138889.0,10900000.0
"Serpong, Tangerang Selatan, Banten",13,2.0,1.0,40.0,10333333.0,
"Pamulang, Tangerang Selatan, Banten",11,2.0,1.0,40.0,10333333.0,
"BSD, Tangerang Selatan, Banten",1,3.0,2.0,128.0,26583333.0,31900000.0
"Bintaro, Tangerang Selatan, Banten",2,4.0,4.0,120.0,10714286.0,15000000.0
"Gading Serpong sektor 7A, Gading Serpong, Tangerang Selatan, Banten",8,5.0,3.0,100.0,12962963.0,14000000.0
"Bintaro, Tangerang Selatan, Banten",2,4.0,4.0,348.0,31400000.0,78500000.0
"Lavender alam sutra, Alam Sutera, Tangerang Selatan, Banten",0,3.0,2.0,200.0,19417476.0,80000000.0
"BSD Tangerang Selatan, BSD, Tangerang Selatan, Banten",1,2.0,2.0,55.0,16666667.0,10000000.0
"Frangipani bsd city, BSD, Tangerang Selatan, Banten",1,3.0,3.0,250.0,25000000.0,75000000.0
"Eternity, BSD, Tangerang Selatan, Banten",1,3.0,3.0,200.0,18500000.0,37000000.0
"De park bsd city, BSD, Tangerang Selatan, Banten",1,4.0,3.0,260.0,36666667.0,110000000.0
"The icon bsd city, BSD, Tangerang Selatan, Banten",1,3.0,3.0,175.0,17600000.0,44000000.0
"Bsd city, BSD, Tangerang Selatan, Banten",1,4.0,4.0,225.0,28500000.0,57000000.0
"Terrace golf bsd city, BSD, Tangerang Selatan, Banten",1,5.0,4.0,1046.0,31835206.0,255000000.0
"Alana Garden serpong, Serpong, Tangerang Selatan, Banten",13,3.0,2.0,69.0,12000000.0,12000000.0
"Alana Garden Serpong, Pondok Aren, Tangerang Selatan, Banten",12,3.0,2.0,69.0,12000000.0,12000000.0
"Alana Garden Serpong, Pamulang, Tangerang Selatan, Banten",11,3.0,2.0,69.0,12000000.0,12000000.0
"Bintaro, Tangerang Selatan, Banten",2,5.0,5.0,170.0,28000000.0,42000000.0
"Bintaro, Tangerang Selatan, Banten",2,4.0,4.0,348.0,31400000.0,78500000.0
"Pd. Benda, Pamulang, Tangerang Selatan, Banten, Pamulang, Tangerang Selatan, Banten",11,2.0,1.0,60.0,9333333.0,
"Bintaro, Tangerang Selatan, Banten",2,5.0,3.0,198.0,13257576.0,35000000.0
"Pamulang, Tangerang Selatan, Banten",11,3.0,3.0,90.0,14457831.0,12000000.0
"BSD, Tangerang Selatan, Banten",1,4.0,4.0,120.0,20588235.0,35000000.0
"Pondok Jati Residence, Pondok Aren, Tangerang Selatan, Banten",12,4.0,2.0,70.0,10937500.0,10500000.0
"Serpong paradise city, Serpong, Tangerang Selatan, Banten",13,3.0,2.0,50.0,8333333.0,
"Jl. Raya Cisauk, Cibogo, Serpong, Serpong, Tangerang Selatan, Banten",13,2.0,1.0,36.0,4861111.0,
"Jl. Ir.sukarno,Curug Sangereng,gading Serpong, Gading Serpong, Tangerang Selatan, Banten",8,3.0,3.0,120.0,27687500.0,26580000.0
"Bintaro, Tangerang Selatan, Banten",2,7.0,4.0,250.0,17550505.0,69500000.0
"Alana Garden Serpong, Gading Serpong, Tangerang Selatan, Banten",8,3.0,2.0,69.0,12000000.0,12000000.0
"Alana Garden Serpong, Ciputat Timur, Tangerang Selatan, Banten",7,3.0,2.0,69.0,12000000.0,12000000.0
"Alana Garden Serpong, Ciputat, Tangerang Selatan, Banten",6,3.0,2.0,69.0,12000000.0,12000000.0
"Alana Garden Serpong, BSD, Tangerang Selatan, Banten",1,3.0,2.0,69.0,12000000.0,12000000.0
"Alana Garden Serpong, Bintaro, Tangerang Selatan, Banten",2,3.0,2.0,69.0,12000000.0,12000000.0
"Jl Bintaro Jaya Sektor 9 -Taman Puri Bintaro, Bintaro, Tangerang Selatan, Banten",2,4.0,3.0,198.0,12121212.0,32000000.0
"Haji Rabun, Serpong, Tangerang Selatan, Banten",13,2.0,1.0,40.0,8744444.0,
"Jl. Ir.sukarno,Curug Sangereng,gading Serpong, BSD, Tangerang Selatan, Banten",1,3.0,3.0,120.0,27089062.0,26005500.0
"Sutera Onyx, Alam Sutera, Tangerang Selatan, Banten",0,3.0,2.0,300.0,22222222.0,40000000.0
"BSD, Tangerang Selatan, Banten",1,3.0,3.0,200.0,12307692.0,48000000.0
"Regency Melati Mas, Serpong Utara, Tangerang Selatan, Banten",14,5.0,4.0,190.0,14014085.0,19900000.0
"BSD, Tangerang Selatan, Banten",1,3.0,2.0,90.0,13333333.0,12000000.0
"Grand Akasia Pondok Benda, Pamulang, Tangerang Selatan, Banten",11,3.0,2.0,114.0,9574468.0,13500000.0
"Serpong, Tangerang Selatan, Banten",13,2.0,1.0,42.0,9285714.0,
"Alam Sutera, Alam Sutera, Tangerang Selatan, Banten",0,2.0,2.0,100.0,12777778.0,11500000.0
"Rawa Buntu, Serpong, Tangerang Selatan, Serpong, Tangerang Selatan, Banten",13,5.0,3.0,278.0,21472393.0,35000000.0
"Sutera Amaryllis, Alam Sutera, Tangerang Selatan, Banten",0,3.0,3.0,300.0,21000000.0,52500000.0
"Sutera Lavender, Alam Sutera, Tangerang Selatan, Banten",0,3.0,2.0,200.0,19417476.0,80000000.0
"Sutera Pelangi, Sutera Sitara, Alam Sutera, Tangerang Selatan, Banten",0,5.0,5.0,300.0,20714286.0,87000000.0
"Sutera Lavender, Alam Sutera, Tangerang Selatan, Banten",0,4.0,3.0,300.0,24642857.0,69000000.0
"Sutera Magnolia, Alam Sutera, Tangerang Selatan, Banten",0,4.0,3.0,265.0,17083333.0,82000000.0
"Jalan Pesantren Jurangmangu, Pondok Aren, Tangerang Selatan, Banten",12,3.0,2.0,70.0,17234394.0,13959859.5
"Cluster Mentari Alam Sutra, Alam Sutera, Tangerang Selatan, Banten",0,4.0,3.0,250.0,25000000.0,75000000.0
"MJFC+7X Cisauk, Tangerang Regency, Banten, BSD, Tangerang Selatan, Banten",1,2.0,1.0,28.0,15440000.0,
"Pamulang, Tangerang Selatan., Pamulang, Tangerang Selatan, Banten",11,3.0,3.0,90.0,14457831.0,12000000.0
"BSD, Tangerang Selatan, Banten",1,5.0,5.0,280.0,25925926.0,70000000.0
"Pondok Benda, Pamulang Tangerang Selatan., Pamulang, Tangerang Selatan, Banten",11,3.0,2.0,55.0,8310811.0,
"Bintaro, Tangerang Selatan, Banten",2,4.0,3.0,99.0,29761905.0,25000000.0
"Rumah Dijual Kucica Bintaro Sektor 9 Dua Lantai, Bintaro, Tangerang Selatan, Banten",2,5.0,4.0,260.0,19444444.0,35000000.0
"Bintaro, Tangerang Selatan, Banten",2,5.0,3.0,84.0,13858696.0,25500000.0
"Alana Garden Serpong, Serpong, Tangerang Selatan, Banten",13,2.0,2.0,65.0,12500000.0,12000000.0
"Ciputat, Tangerang Selatan, Banten",6,7.0,3.0,150.0,18126888.0,60000000.0
"Bintaro, Tangerang Selatan, Banten",2,5.0,5.0,152.0,37500000.0,45000000.0
"Alana Garden Serpong, Pondok Aren, Tangerang Selatan, Banten",12,2.0,2.0,65.0,12500000.0,12000000.0
"Alana Garden Serpong, Pamulang, Tangerang Selatan, Banten",11,2.0,2.0,65.0,12500000.0,12000000.0
"Villa Inti Persada, Pamulang, Tangerang Selatan, Banten",11,3.0,2.0,152.0,16363636.0,14400000.0
"Pondok Aren, Tangerang Selatan, Banten",12,2.0,2.0,63.0,14903846.0,15500000.0
"Bintaro, Tangerang Selatan, Banten",2,3.0,2.0,91.0,24324324.0,27000000.0
"Mayfield, BSD, Tangerang Selatan, Banten",1,3.0,3.0,150.0,20625000.0,33000000.0
"Wr supratman No. 88 Jl.Wr.Supratman, Ciputat Timur, Tangerang Selatan, Banten",7,3.0,3.0,139.0,21233645.0,22719999.999999996
"1 Jl Kompas, Ciputat, Ciputat Timur, Tangerang Selatan, Banten",7,3.0,3.0,160.0,16666667.0,25000000.0
"Jl.Benosa, Buaran, Serpong, Tangerang Selatan, Serpong, Tangerang Selatan, Banten",13,2.0,1.0,36.0,13333333.0,
"Jalan Maruga Raya, serua, BSD, Tangerang Selatan, Banten",1,4.0,3.0,170.0,8259669.0,14950000.000000002
"Pondok aren, Ciputat, Tangerang Selatan, Banten",6,4.0,4.0,250.0,5735294.0,19500000.0
"Nara Village, Jalan Proklamasi, Gading Serpong, Tangerang, Gading Serpong, Tangerang Selatan, Banten",8,3.0,3.0,116.0,29166667.0,35000000.0
"Jl.kebon kopi pengasinan gunung Sindur, BSD, Tangerang Selatan, Banten",1,3.0,3.0,73.0,8522727.0,
"Cluster Starling The Springs, Gading Serpong, Tangerang Selatan, Banten",8,3.0,2.0,133.0,19485294.0,26500000.0
"Serpong, Serpong, Tangerang Selatan, Banten",13,3.0,2.0,55.0,8333333.0,
"Jl.kebon kopi pengasinan gunung Sindur, Bintaro, Tangerang Selatan, Banten",2,3.0,3.0,66.0,10833333.0,
"Jalan pelikan bintaro jaya sektor 2, Bintaro, Tangerang Selatan, Banten",2,4.0,4.0,250.0,9746835.0,38500000.0
"Cluster Olivia alam sutra, Alam Sutera, Tangerang Selatan, Banten",0,5.0,4.0,280.0,24583333.0,59000000.0
"Puri Bintaro, Bintaro, Tangerang Selatan, Banten",2,3.0,2.0,110.0,16184971.0,28000000.0
"Bintaro, Tangerang Selatan, Banten",2,3.0,2.0,100.0,13125000.0,21000000.0
"Jl raya puspitek, Pamulang, Tangerang Selatan, Banten",11,3.0,1.0,40.0,8153846.0,
"Villa Bintaro Indah Jombang Bintaro, Bintaro, Tangerang Selatan, Banten",2,3.0,1.0,80.0,7949791.0,19000000.0
"Emerald Terrace, Bintaro, Tangerang Selatan, Banten",2,3.0,2.0,90.0,20800000.0,26000000.0
"Jl. Puspiptek raya - Setu Tangerang selatan, Setu, Tangerang Selatan, Banten",16,3.0,3.0,88.0,19500000.0,13650000.0
"Gading Serpong, Tangerang Selatan, Banten",8,5.0,2.0,60.0,31041667.0,14900000.0
"cirendeu, Ciputat, Tangerang Selatan, Banten",6,4.0,4.0,174.0,16296296.0,22000000.0
"BSD, Tangerang Selatan, Banten",1,2.0,1.0,54.0,16666667.0,13000000.0
"Ciputat, Tangerang Selatan, Banten",6,3.0,2.0,110.0,12755102.0,12500000.0
"Puspitaloka Tangerang Selatan, BSD, Tangerang Selatan, Banten",1,6.0,4.0,240.0,17313433.0,58000000.0
"Foresta, BSD, Tangerang Selatan, Banten",1,6.0,5.0,290.0,22348485.0,59000000.0
"BSD, Tangerang Selatan, Banten",1,4.0,3.0,220.0,22000000.0,27500000.0
"Ciputat, Tangerang Selatan, Banten",6,2.0,2.0,70.0,14583333.0,14000000.0
"BSD, Tangerang Selatan, Banten",1,6.0,5.0,400.0,15616438.0,57000000.0
"BSD, Tangerang Selatan, Banten",1,10.0,5.0,1000.0,25423729.0,180000000.0
"Alam Sutera, Tangerang Selatan, Banten",0,6.0,4.0,206.0,25333333.0,57000000.0
"Jl. Puspiptek Raya - Setu Tangerang selatan, Setu, Tangerang Selatan, Banten",16,2.0,1.0,36.0,6640000.0,
"Jl BSD, Lengkong Gudang, Serpong, Serpong, Tangerang Selatan, Banten",13,5.0,5.0,400.0,21306818.0,75000000.0
"Puspitaloka, BSD, Tangerang Selatan, Banten",1,7.0,5.0,600.0,23000000.0,115000000.0
"serpong garden 2, BSD, Tangerang Selatan, Banten",1,2.0,1.0,45.0,9090909.0,
"Bintaro, Tangerang Selatan, Banten",2,5.0,3.0,144.0,22222222.0,16000000.0
"Jl Cilalung 3 Jombang, Ciputat, Tangerang Selatan, Ciputat, Tangerang Selatan, Banten",6,2.0,1.0,40.0,11074000.0,
"Ciputat timur, Ciputat Timur, Tangerang Selatan, Banten",7,3.0,2.0,55.0,10833333.0,
"Camar bintaro sektor3, Bintaro, Tangerang Selatan, Banten",2,4.0,4.0,250.0,22222222.0,30000000.0
"Giri Loka, BSD, Tangerang Selatan, Banten",1,4.0,5.0,441.0,17528090.0,78000000.0
"Foresta, BSD, Tangerang Selatan, Banten",1,6.0,5.0,290.0,22537879.0,59500000.0
"Puspita Loka, BSD, Tangerang Selatan, Banten",1,5.0,3.0,240.0,16417910.0,55000000.0
"Giri Loka, BSD, Tangerang Selatan, Banten",1,5.0,4.0,194.0,18078512.0,43750000.0
"Jalan Haji Rabun, Pamulang, Tangerang Selatan, Banten",11,2.0,1.0,40.0,8744444.0,
"Delatinos, BSD, Tangerang Selatan, Banten",1,3.0,4.0,170.0,19485294.0,26500000.0
"Graha Bintaro, Serpong Utara, Tangerang Selatan, Banten",14,3.0,2.0,84.0,17708333.0,12750000.0
"Bintaro, Bintaro, Tangerang Selatan, Banten",2,5.0,4.0,220.0,19230769.0,30000000.0
"Bintaro, Tangerang Selatan, Banten",2,4.0,3.0,127.0,13978495.0,13000000.0
"Bintaro Jaya Sektor 5, Bintaro, Tangerang Selatan, Banten",2,4.0,3.0,229.0,17903930.0,41000000.0
"Bintaro, Bintaro, Tangerang Selatan, Banten",2,6.0,2.0,220.0,23333333.0,42000000.0
"BSD, Tangerang Selatan, Banten",1,5.0,5.0,1200.0,20416667.0,245000000.0
"Bintaro, Tangerang Selatan, Banten",2,5.0,4.0,396.0,22613065.0,90000000.0
"Cluster di THE GREEN, BSD, Serpong, BSD, Tangerang Selatan, Banten",1,5.0,6.0,400.0,23529412.0,80000000.0
"Ciputat Timur, Tangerang Selatan, Banten",7,4.0,3.0,220.0,10067114.0,30000000.0
"Jl. Alip Gede, Serua, Ciputat, Tangerang Selatan, Ciputat, Tangerang Selatan, Banten",6,5.0,4.0,114.0,15690341.0,13807500.0
"Discovery, Bintaro, Tangerang Selatan, Banten",2,4.0,3.0,185.0,30567010.0,59300000.0
"Jl Cilalung 3 Jombang, Ciputat, Tangerang Selatan, Ciputat, Tangerang Selatan, Banten",6,2.0,1.0,36.0,10320667.0,
"alam sutra cluster, Alam Sutera, Tangerang Selatan, Banten",0,4.0,4.0,550.0,23023256.0,99000000.0
"Pondok Aren, Tangerang Selatan, Banten",12,4.0,2.0,130.0,22884615.0,29750000.0
"Cirendeu, Ciputat, Tangerang Selatan, Banten",6,3.0,2.0,72.0,13281250.0,12750000.0
"Ciputat Timur, Tangerang Selatan, Banten",7,4.0,2.0,105.0,13492063.0,17000000.0
"Ciputat, Tangerang Selatan, Banten",6,3.0,2.0,120.0,10000000.0,16500000.0
"Lombok, Ciputat, Tangerang Selatan, Banten",6,2.0,2.0,72.0,15533333.0,
"Gading Serpong, Tangerang Selatan, Banten",8,5.0,4.0,203.0,27777778.0,60000000.0
"Jalan kebon kopi, Serpong, Tangerang Selatan, Banten",13,3.0,3.0,66.0,5714286.0,
"Bintaro, Tangerang Selatan, Banten",2,3.0,2.0,100.0,25649351.0,19750000.0
"Discovery Bintaro, Bintaro, Tangerang Selatan, Banten",2,5.0,3.0,200.0,26016260.0,32000000.0
"Bintaro, Tangerang Selatan, Banten",2,4.0,4.0,180.0,25163399.0,38500000.0
"Alana Garden Serpong, Gading Serpong, Tangerang Selatan, Banten",8,2.0,2.0,65.0,12500000.0,12000000.0
"Alana Garden Serpong, Ciputat Timur, Tangerang Selatan, Banten",7,2.0,2.0,65.0,12500000.0,12000000.0
"Alana Garden Serpong, Ciputat, Tangerang Selatan, Banten",6,2.0,2.0,65.0,12500000.0,12000000.0
"Alana Garden Serpong, BSD, Tangerang Selatan, Banten",1,2.0,2.0,65.0,12500000.0,12000000.0
"Alana Garden Serpong, Bintaro, Tangerang Selatan, Banten",2,2.0,2.0,65.0,12500000.0,12000000.0
"Jalan kebon kopi, Pamulang, Tangerang Selatan, Banten",11,3.0,3.0,66.0,5714286.0,
"BSD, Tangerang Selatan, Banten",1,4.0,4.0,175.0,13666667.0,41000000.0
"Pondok pucung, Pondok Aren, Tangerang Selatan, Banten",12,3.0,2.0,180.0,9920635.0,12500000.0
"Legoso Ciputat, Ciputat, Tangerang Selatan, Banten",6,8.0,5.0,867.0,3731343.0,27500000.0
"Serpong, Tangerang Selatan, Banten",13,3.0,3.0,100.0,17361111.0,12500000.0
"Pamulang 2, Pamulang, Tangerang Selatan, Banten",11,4.0,3.0,220.0,18750000.0,18000000.0
"Bintaro, Tangerang Selatan, Banten",2,3.0,2.0,90.0,21180556.0,15250000.0
"Ciputat Timur, Tangerang Selatan, Banten",7,3.0,3.0,300.0,20920502.0,50000000.0
"Jl. Garuda 5, Villa Pamulang, Pamulang, Tangerang Selatan, Banten",11,2.0,1.0,45.0,8333333.0,
"Serpong Utara, Tangerang Selatan, Banten",14,5.0,3.0,135.0,16509434.0,17500000.0
"PJMW+743, BSD, Tangerang Selatan, Banten",1,3.0,2.0,132.0,25892580.0,28999690.0
"BSD, Tangerang Selatan, Banten",1,3.0,3.0,144.0,26250000.0,31500000.0
"Serpong, Tangerang Selatan, Banten",13,3.0,1.0,110.0,20000000.0,24000000.0
"Bintaro jaya sektor 9, Bintaro, Tangerang Selatan, Banten",2,4.0,4.0,180.0,25163399.0,38500000.0
"Sektor 9 bintaro jaya / id, Bintaro, Tangerang Selatan, Banten",2,2.0,1.0,60.0,18309859.0,13000000.0
"Rawabuntu, BSD, Bintaro, Setu, Tangerang Selatan, BSD, Tangerang Selatan, Banten",1,3.0,3.0,72.0,12500000.0,
"jln ceger raya, Pondok Aren, Tangerang Selatan, Banten",12,3.0,2.0,90.0,12142857.0,
"Jl. Nusa Jaya Bintaro Sektor 3A, Bintaro, Tangerang Selatan, Banten",2,7.0,2.0,116.0,19642857.0,16500000.0
"Haji Rabun, Pamulang, Tangerang Selatan, Banten",11,2.0,1.0,40.0,8744444.0,
"Bintaro, Tangerang Selatan, Banten",2,5.0,5.0,150.0,27777778.0,37500000.0
"Serpong Utara, Tangerang Selatan, Banten",14,4.0,4.0,320.0,18333333.0,55000000.0
"Gading Serpong, Tangerang Selatan, Banten",8,4.0,4.0,300.0,29545455.0,65000000.0
"Lengkong Kulon, Kec. Pagedang, BSD, Tangerang Selatan, Banten",1,2.0,2.0,45.0,23333333.0,14000000.0
"jl.Hylands, BSD, Tangerang Selatan, Banten",1,3.0,2.0,70.0,22727273.0,17500000.0
"BSD, Tangerang Selatan, Banten",1,4.0,4.0,278.0,22699387.0,37000000.0
"Jl.Amarine, BSD, Tangerang Selatan, Banten",1,2.0,2.0,68.0,27500000.0,16500000.0
"Bintaro, Tangerang Selatan, Banten",2,7.0,5.0,400.0,14462810.0,35000000.0
"Oriana, Pondok Aren, Tangerang Selatan, Banten",12,3.0,3.0,300.0,20540541.0,38000000.0
"Haji Rabun, Serpong, Tangerang Selatan, Banten",13,2.0,1.0,40.0,8744444.0,
"Ciputat Timur, Tangerang Selatan, Banten",7,4.0,3.0,500.0,10998308.0,130000000.0
"Bintaro, Tangerang Selatan, Banten",2,4.0,4.0,240.0,35833333.0,43000000.0
"Bintaro, Bintaro, Tangerang Selatan, Banten",2,8.0,3.0,150.0,15333333.0,23000000.0
"Bintaro, Bintaro, Tangerang Selatan, Banten",2,10.0,4.0,150.0,14117647.0,24000000.0
"Caribbean Flamingo The Springs Summarecon Serpong, Gading Serpong, Tangerang Selatan, Banten",8,4.0,3.0,166.0,24305556.0,35000000.0
"BSD, Tangerang Selatan, Banten",1,3.0,2.0,70.0,12222222.0,22000000.0
"Gading serpong, Gading Serpong, Tangerang Selatan, Banten",8,4.0,3.0,165.0,1.0,148.0
"Gading serpong, Gading Serpong, Tangerang Selatan, Banten",8,2.0,2.0,55.0,20625000.0,
"Delatinos BSD City, BSD, Tangerang Selatan, Banten",1,3.0,3.0,211.0,23750000.0,47500000.0
"Curug Sangereng, Tangerang, gading serpong, BSD, Tangerang Selatan, Banten",1,2.0,2.0,53.0,30000000.0,12000000.0
"haji Rabun, Ciputat, Tangerang Selatan, Banten",6,2.0,1.0,40.0,8744444.0,
"Haji Rabun, Pamulang, Tangerang Selatan, Banten",11,2.0,1.0,40.0,8744444.0,
"Gading Serpong, Tangerang Selatan, Banten",8,4.0,4.0,105.0,17605634.0,25000000.0
"Pondok Aren, Tangerang Selatan, Banten",12,4.0,2.0,100.0,9854015.0,13500000.0
"PHG RUBY-Khusus Buyer, Gading Serpong, Tangerang Selatan, Banten",8,4.0,3.0,128.0,18055556.0,26000000.0
"BSD, Tangerang Selatan, Banten",1,2.0,1.0,65.0,16666667.0,13000000.0
"Pondok Aren, Tangerang Selatan, Banten",12,3.0,3.0,500.0,6267030.0,23000000.0
"Serpong paradise city, Serpong, Tangerang Selatan, Banten",13,3.0,2.0,55.0,8333333.0,
"Graha Raya, Fortune, Serpong Utara, Tangerang Selatan, Banten",14,2.0,1.0,40.0,14000000.0,
"Bintaro, Tangerang Selatan, Banten",2,5.0,4.0,138.0,25833333.0,31000000.0
"Jl. Lengkong Karya, Serpong, Tangerang Selatan, Banten",13,2.0,2.0,41.0,15138889.0,10900000.0
"Gading Serpong, Tangerang Selatan, Banten",8,3.0,2.0,154.0,19135802.0,31000000.0
"Jaln kesadaran, Pamulang, Tangerang Selatan, Banten",11,2.0,1.0,48.0,7348485.0,
"Jalan kesadaran, Bintaro, Tangerang Selatan, Banten",2,2.0,1.0,46.0,6054054.0,
"Jln. Kesadaran 1, Bintaro, Tangerang Selatan, Banten",2,2.0,1.0,48.0,6081081.0,
"Jl. Kesadaran 2, Pamulang, Tangerang Selatan, Banten",11,2.0,1.0,45.0,6458333.0,
"Jl. Pendidikan, Pamulang, Tangerang Selatan, Banten",11,2.0,1.0,45.0,5694444.0,
"Jln. Ciater raya, Pamulang, Tangerang Selatan, Banten",11,2.0,1.0,45.0,6266667.0,
"Jalan Tarumanegara, Ciputat Timur, Tangerang Selatan, Banten",7,4.0,3.0,250.0,11744966.0,35000000.0
"Puri Bintaro Jaya, Bintaro, Tangerang Selatan, Banten",2,3.0,2.0,150.0,22123894.0,25000000.0
"Jln. Ciater raya, Pamulang, Tangerang Selatan, Banten",11,2.0,1.0,45.0,6060606.0,
"Jl. Cabe V, Pamulang, Tangerang Selatan, Banten",11,3.0,2.0,100.0,13068182.0,11500000.0
"Jalan Kintamani Raya, Ciputat Timur, Tangerang Selatan, Banten",7,5.0,4.0,219.0,16472868.0,42500000.0
". Jl.pendidikan, Pamulang, Tangerang Selatan, Banten",11,2.0,1.0,46.0,5902778.0,
"Jln. Ciater raya, Pamulang, Tangerang Selatan, Banten",11,2.0,1.0,45.0,6060606.0,
"Bintaro, Tangerang Selatan, Banten",2,4.0,3.0,295.0,25606469.0,95000000.0
"Jalan Pulo Air III, Pamulang, Tangerang Selatan, Banten",11,3.0,3.0,140.0,20000000.0,25000000.0
"Jalan Neptunus Raya, Ciputat Timur, Tangerang Selatan, Banten",7,6.0,3.0,750.0,12547051.0,100000000.0
"Jalan Kintamani Raya, Ciputat Timur, Tangerang Selatan, Banten",7,4.0,2.0,230.0,18125000.0,29000000.0
"Jl. Raya Pendidikan Rawakalong, Serpong, Serpong, Tangerang Selatan, Banten",13,2.0,1.0,45.0,7222222.0,
"Ciputat Timur, Tangerang Selatan, Banten",7,4.0,3.0,300.0,6043956.0,27500000.0
"Jl. Betet I, Lingkar Timur, Serpong, Tangerang Selatan, Banten",13,2.0,1.0,39.0,5642857.0,
"Jl. Betet I, Lingkar Timur RT 01/01, Pamulang, Pamulang, Tangerang Selatan, Banten",11,2.0,1.0,40.0,6166667.0,
"Serpong, Tangerang Selatan, Banten",13,4.0,3.0,225.0,22929936.0,36000000.0
"Jl. Lkr. Barat Alam Sutera, RT.002/RW.006, Serpong Utara, Tangerang Selatan, Banten",14,6.0,6.0,450.0,20618557.0,100000000.0
"Jalan Kabel, Pondok Jaya, Bintaro, Bintaro, Tangerang Selatan, Banten",2,6.0,4.0,330.0,36363636.0,40000000.0
"Jalan kebun kopi, BSD, Tangerang Selatan, Banten",1,3.0,3.0,66.0,7812500.0,
"Pandawa 5 Pamulang, Pamulang, Tangerang Selatan, Banten",11,3.0,2.0,69.0,10714286.0,
"Jalan kebon kopi, BSD, Tangerang Selatan, Banten",1,3.0,3.0,66.0,7812500.0,
"Bintaro, Bintaro, Tangerang Selatan, Banten",2,3.0,2.0,55.0,10000000.0,
"Bintaro, Tangerang Selatan, Banten",2,4.0,4.0,100.0,15196078.0,15500000.0
"Jalan Mabad Rempoa Ciputat Tangsel, Ciputat Timur, Tangerang Selatan, Banten",7,3.0,3.0,330.0,8421053.0,40000000.0
"jln cendrawasih raya, Ciputat, Tangerang Selatan, Banten",6,3.0,2.0,110.0,12244898.0,12000000.0
"Jl. Jombang Raya, Pondok Aren, Tangerang Selatan, Banten",12,8.0,8.0,500.0,8417508.0,75000000.0
"BSD, Tangerang Selatan, Banten",1,3.0,2.0,140.0,13500000.0,27000000.0
"Jalan kebon kopi, Serpong, Tangerang Selatan, Banten",13,3.0,3.0,66.0,7812500.0,
"Jalan kebon kopi, Bintaro, Tangerang Selatan, Banten",2,3.0,3.0,66.0,7812500.0,
"Jalan kebon kopi, Ciputat, Tangerang Selatan, Banten",6,3.0,3.0,66.0,7812500.0,
"Jalan kebon kopi, Pamulang, Tangerang Selatan, Banten",11,3.0,3.0,66.0,7812500.0,
"Jalan kebon kopi, Bintaro, Tangerang Selatan, Banten",2,3.0,3.0,66.0,7812500.0,
"Jalan kebon kopi, Pondok Aren, Tangerang Selatan, Banten",12,3.0,3.0,66.0,7812500.0,
"Jalan cendana, Bintaro, Tangerang Selatan, Banten",2,3.0,3.0,52.0,8445946.0,
"Jalan kebon kopi, Alam Sutera, Tangerang Selatan, Banten",0,3.0,3.0,66.0,7500000.0,
"CLuster Sutera Feronia, Alam Sutera, Alam Sutera, Tangerang Selatan, Banten",0,5.0,4.0,142.0,27430556.0,39500000.0
"Maleo, Bintaro, Tangerang Selatan, Banten",2,4.0,5.0,350.0,26717557.0,35000000.0
"Pandawa 5 Pamulang, Serpong, Tangerang Selatan, Banten",13,3.0,2.0,69.0,10714286.0,
"bintaro, Bintaro, Tangerang Selatan, Banten",2,3.0,2.0,55.0,10000000.0,
"Jl.Raya serpong bogor gunung sindur, Serpong, Tangerang Selatan, Banten",13,2.0,1.0,36.0,8800000.0,
"Jl Raya Pinang, Pamulang, Tangerang Selatan, Banten",11,3.0,2.0,77.0,10000000.0,12000000.0
"Pondok Aren, Tangerang Selatan, Banten",12,3.0,2.0,75.0,13100000.0,13100000.0
"Ciputat Timur, Tangerang Selatan, Banten",7,4.0,3.0,183.0,31764706.0,43200000.0
"BSD, Tangerang Selatan, Banten",1,5.0,4.0,135.0,28333333.0,34000000.0
"BSD, Tangerang Selatan, Banten",1,4.0,4.0,140.0,20833333.0,30000000.0
"BSD, Tangerang Selatan, Banten",1,4.0,4.0,135.0,17500000.0,31500000.0
"Gading Serpong, Tangerang Selatan, Banten",8,3.0,3.0,123.0,18750000.0,27000000.0
"Gading Serpong, Tangerang Selatan, Banten",8,4.0,3.0,200.0,17924528.0,38000000.0
"BSD, Tangerang Selatan, Banten",1,4.0,4.0,170.0,26944444.0,48500000.0
"Jln Pandawa 5 Dhills Residence, Ciputat, Tangerang Selatan, Banten",6,3.0,3.0,59.0,11142857.0,
"Gading Serpong, Tangerang Selatan, Banten",8,4.0,4.0,133.0,11890244.0,39000000.0
"Ciputat, Tangerang Selatan, Banten",6,2.0,1.0,37.0,11666667.0,
"BSD, Tangerang Selatan, Banten",1,2.0,2.0,90.0,8035714.0,
"BSD, Tangerang Selatan, Banten",1,2.0,2.0,90.0,8035714.0,
